"Title";"Date";"Link"
"Inicia en la Programacion: Primer Paso : Git y Terminal";"29 de Octubre 2024";"https://www.udemy.com/certificate/UC-d1821fb3-1ba7-4258-af70-600fc2344122/"
"Aprende a dominar Git de cero a experto!";"29 de Octubre 2024";"https://www.udemy.com/certificate/UC-9dc59d7c-183e-4e26-a18f-d05abae0b871/"
"Criando Páginas Web com o GitHub Pages";"28 de Octubre 2024";"https://www.udemy.com/certificate/UC-cddeba01-3366-484d-81ac-1d8672814524/"
"Introducción a Git & GitHub";"28 de Octubre 2024";"https://www.udemy.com/certificate/UC-998ec83d-7373-435c-afa8-8d5a4bc60ec7/"
"Introduction to Containers, Kubernetes, and OpenShift V2";"24 de Octubre 2024";"https://courses.cognitiveclass.ai/certificates/54932d99e10f4b2ca4a8954814aad7f5"
"Learn C programming from scratch and become expert in C";"9 de Octubre 2024";"https://www.udemy.com/certificate/UC-35fde0cc-46b2-421f-ab62-a496b4161185/"
"MongooseJS Essentials - Learn MongoDB for Node.js";"13 de enero 2023";"https://www.udemy.com/certificate/UC-55ef83fb-322d-45d5-be9c-2dfba71f31cb/"
"MongoDB Essentials - Understand the Basics of MongoDB";"11 de enero 2023";"https://www.udemy.com/certificate/UC-bfd14d23-5d4d-4501-98e3-113d638df1c0/"
"Introduction To Programming with Python";"26 de enero 2022";"https://www.udemy.com/certificate/UC-e1425358-faa3-4523-9560-dc46b8043ee3/"
"Estructuras de datos en R [nivel básico] en Español";"21 de Mayo 2020";"https://www.udemy.com/certificate/UC-dceea03d-50c2-4fa8-91c4-47cbde576c49/"
