"Title";"Date";"Link"
"N8N para Principiantes - Aprende a Automatizar con IA";"2025";"https://www.udemy.com/course/n8n-para-principiantes-aprende-a-automatizar-con-ia/learn/lecture/53071467#overview"
"LinuxFoundationX:Introduction to Kubernetes on Edge with K3s";"2025";"https://learning.edx.org/course/course-v1:LinuxFoundationX+LFS156x+2T2024/home"
"AnahuacX: Introducción a la inteligencia emocional";"2025";"https://www.edx.org/learn/social-science/universidades-anahuac-introduccion-a-la-inteligencia-emocional"
"Azure Devops para Todos";"2024";"https://www.udemy.com/course/azure-devops-para-todos/"
"Instant Kubernetes: Mastering K8s with Minikube";"2024";"https://www.udemy.com/share/10cnNx3@n_u4-QjHc0ySA4HuHBcHEzoTTSwwlqMBCrJH-GROu5xz8LdnQ2ggJeQaol_4Wwy3/"
"GitLab with Git Essentials";"2024";"https://university.gitlab.com/learn/course/gitlab-with-git-essentials-s2/"
"Terraform en 59 minutos";"2024";"https://www.udemy.com/share/105XpW3@fyhf_S3a3cmCfEli6MYtNaRp_AwvuPSaX5yQKqS5J2QhLam81kNwpnQKzBdC1MZa/"
"Terraform 101";"2024";"https://www.udemy.com/share/103Ja63@wrzClV_d8uuZk9YnEISRzWn0N5nTtSpeF84TK8MmuehvGRkomFGWET2ntpM9HCeG/"
"TERRAFORM: Tus primeros pasos!";"2024";"https://www.udemy.com/share/10bpr53@bYh0PhyUok9yoAFC_tew-aSU_WprWfHwyQuX3M72yXr_EBUBPi5n700GlU-8W5PB/"
"Learn how to get started with AWS Lambda Functions using Python run time for free";"2024";"https://www.udemy.com/share/106Ac43@cGvH34gobryQLukDUbd-dQV8JFwg0rKOFMjAwW1bZ_bH0ryhVa3M3dcFgHkwrrqq/"
"Learn CI/CD Pipeline With Jenkins,Python, Docker, DockerHub";"2024";"https://www.udemy.com/share/1075PE3@5um02qskwo9F9mIhCEjDR15kINxog8NKD9xvD0blFvkxqhTzI-cEx7oo8T-BIL_Y/"
"FREE CI/CD Pipeline Course";"2024";"https://www.udemy.com/share/1065Kc3@Vbkvn8YaMueitnuIjw5TflaJCYj6u29Ax5XG0sbVjxSkoXS6hCm-DwFYjfn9S7Ts/"
"Introducción a la Programación Orientada a Objetos";"2024";"https://www.udemy.com/share/105fgU3@GCJvFY__lCYN-F8rP72PNwLWvFiAk5Ac7ZTh4ibuEtAfFu_w8DTqzloEJJ-YN80O/"
"Fundamentos de Docker: Imágenes y Contenedores";"2024";"https://www.udemy.com/share/1067qK3@WK7LvoRnjKuJ4fPUdZH07-PBf23ZvLZcD0rZD0-r5V9bkLFza_n0gb8DJ9SXJIbf/"
"DPLYR R Package: Introductory R Course on Data Analysis in R";"2020";"https://www.udemy.com/share/10c5TD3@AjXVxzR4jmo_4O4uPtx5tWQRcrXv7dptSom2bjp343aK-6ZeIn3SIgRw8NGR_mHq/"
